id,title,description,link,image_link,availability,price,brand,condition,category
azure-tower-vase-usiPgp,Azure Tower Vase,"A striking stoneware vase in bold blue, designed with a sculptural silhouette that adds height and style to any setting. Whether displayed alone or with tall stems, it makes a sleek statement on any console or table.Material: StonewareDimensions: 9.2x9.2x34.3 cmCare: Wipe clean",https://joyandco.com/product/azure-tower-vase-usiPgp,https://joyandco.com/storage/app/public/product/2025-05-11-68206bfe624fb.webp,in stock,155.00 AED,KERSTEN,new,Products
butterfly-garden-vase-l-lqNFj1,Butterfly Garden Vase L,"A vibrant celebration of color and nature, this large stoneware vase is adorned with sculpted butterflies in playful hues. Its bold design and generous size make it the perfect centerpiece for striking floral arrangements or as a standalone decorative piece.Material: StonewareDimensions: 24.5 x 24.5 x 34 cm",https://joyandco.com/product/butterfly-garden-vase-l-lqNFj1,https://joyandco.com/storage/app/public/product/2025-05-16-68271d791f8bf.webp,in stock,660.00 AED,KERSTEN,new,Products
butterfly-garden-vase-m-R11BOa,Butterfly Garden Vase M,"A vibrant celebration of color and nature, this medium-size stoneware vase is adorned with sculpted butterflies in playful hues. Its bold design and generous size make it the perfect centerpiece for striking floral arrangements or as a standalone decorative piece.Material: StonewareDimensions: 24.5 x 24.5 x 25 cm",https://joyandco.com/product/butterfly-garden-vase-m-R11BOa,https://joyandco.com/storage/app/public/product/2025-05-16-68271cd14472b.webp,in stock,440.00 AED,KERSTEN,new,Products
candle-dip-dye-yellow-tJ1CSM,Candle Dip Dye yellow,"These dip-dye taper candles feature a soft gradient design, adding a modern yet elegant touch to any table setting. Perfect for special occasions or everyday ambiance.*Material: Wax*Dimensions: 9.2x2.2x30.5cm*Set includes 4 taper candles",https://joyandco.com/product/candle-dip-dye-yellow-tJ1CSM,https://joyandco.com/storage/app/public/product/2025-05-12-6821fdf75a129.webp,in stock,45.00 AED,KERSTEN,new,Products
cello-suite-n29-montecarlo-night-700ml-LJv3uf,Cello suite n.29 Montecarlo Night 700ML,"In this sun-kissed fragrance, hints of bergamot and mandarin mix, all enhanced by the opulent and velvety heart notes of jasmine and orange blossom, ending in base notes with the enveloping scent of rare and precious musky aromas.Warm and sensual fragrance with a seductive embrace.Very suitable in the living area and in environments where you want to create an atmosphere of relaxation and good humor.Floral top and heart notes that end in a background of subtle musky aromas.Top : mandarin bergamotHeart : jasmine, rose, orange blossom, patchouliBase : white musk700MLPresented in an EDION box. Comes in an exclusive bottle designed for JOY&CO, in smoked olive green with gold leaf.Silk Black Sticks included.Made in Italy.",https://joyandco.com/product/cello-suite-n29-montecarlo-night-700ml-LJv3uf,https://joyandco.com/storage/app/public/product/2025-03-03-67c620c152bc2.webp,in stock,775.00 AED,EDION,new,Products
chrome-kiss-planter-nTDrA9,Chrome Kiss Planter,"Bring a bold, modern twist to your décor with the Chrome Kiss Planter in metallic silver. Sculpted from fine earthenware, its striking shape and glossy finish make it a true statement piece.Material: Fine EarthenwareDimensions: 42x18.5x18.5 cm",https://joyandco.com/product/chrome-kiss-planter-nTDrA9,https://joyandco.com/storage/app/public/product/2025-05-12-6821d787b5ad6.webp,in stock,375.00 AED,KERSTEN,new,Products
crystal-hobnail-jug-with-gold-handle-U5RN5L,Crystal Hobnail Jug with Gold Handle,"Prepare to liven up any casual indoor or outdoor gathering with this all-purpose handmade hobnail crystal glass jug. A modern approach towards the Bohemian glass tradition combined with the elegance of the crystal glass, your crystal hobnail jug will make your interior shine.Premium features such as a tapered handle give you a comfortable hold on the jug while the ice lip restrains wayward ice cubes.The gold handle is a special feature of the jug and has been hand golded in 24K gold.Material: Bohemian CrystalVolume: 2000ml (2L)Dimensions: 20x22 cmWeight: 2 kgNot suitable for dishwasherNot suitable for microwaveMade in Czech Republic.",https://joyandco.com/product/crystal-hobnail-jug-with-gold-handle-U5RN5L,https://joyandco.com/storage/app/public/product/2025-02-26-67bf3b3d5770c.webp,in stock,750.00 AED,KLIMCHI,new,Products
firelight-duo-vase-b58wuT,Firelight Duo Vase,"Turn up the drama with the Firelight Duo Vase, a bold statement in two rich tones of red glass. Its smooth curves and layered color create a striking silhouette that brings warmth and depth to any setting. Whether styled with florals or standing alone, it’s the perfect accent for a dynamic, modern look.Material: GlassDimensions: 19 x 19 x 30 cm",https://joyandco.com/product/firelight-duo-vase-b58wuT,https://joyandco.com/storage/app/public/product/2025-05-16-682720f5ed3cb.webp,in stock,285.00 AED,KERSTEN,new,Products
flower-girl-candleholde-pink-Hv3IdF,Flower Girl Candleholder Pink,"Dressed in rosy pink and crowned with a warm orange flower, this playful candle holder adds charm and color to any setting. A whimsical piece to mix and match across seasons.Material: StonewareDimensions: 7x7x18 cmFits standard taper candles",https://joyandco.com/product/flower-girl-candleholde-pink-Hv3IdF,https://joyandco.com/storage/app/public/product/2025-05-12-6821e2a1af099.webp,in stock,83.00 AED,KERSTEN,new,Products
flower-girl-candleholder-lilac-l77Ql5,Flower Girl Candleholder Lilac,"This soft lilac flower girl, topped with a cheerful yellow bloom, lends a gentle, fairy-tale vibe to your display. A subtle statement piece for playful styling.Material: StonewareDimensions: 7x7x18 cmFits standard taper candles",https://joyandco.com/product/flower-girl-candleholder-lilac-l77Ql5,https://joyandco.com/storage/app/public/product/2025-05-12-6821f5ae45d49.webp,in stock,83.00 AED,KERSTEN,new,Products
flower-girl-candleholder-ochre-dtKhkX,Flower Girl Candleholder Ochre,"With her warm ochre dress and crisp white flower crown, this candle holder brings an earthy yet refined character to any corner. Ideal on its own or paired with the full set.Material: StonewareDimensions: 7x7x18 cmFits standard taper candles",https://joyandco.com/product/flower-girl-candleholder-ochre-dtKhkX,https://joyandco.com/storage/app/public/product/2025-05-12-6821e3541d8cb.webp,in stock,83.00 AED,KERSTEN,new,Products
flower-girl-candleholder-yellow-CA8gpn,Flower Girl Candleholder Yellow,"A sweet flower girl in a sunny yellow dress topped with a delicate pink bloom. She brings a soft, joyful touch to any table or shelf, perfect for brightening everyday moments or special gatherings.Material: StonewareDimensions: 7x7x18 cmFits standard taper candles",https://joyandco.com/product/flower-girl-candleholder-yellow-CA8gpn,https://joyandco.com/storage/app/public/product/2025-05-12-6821f68a241e3.webp,in stock,83.00 AED,KERSTEN,new,Products
flower-girl-set-of-4-ADbOHH,Flower Girl Set Of 4,"A charming quartet of candlestick holders, each shaped like a flower girl dressed in pastel tones and crowned with a bloom. The Flower Girl Set of 4 adds a playful, storybook touch to your table, shelf, or celebration, perfect for adding both color and character to your décor.Material: StonewareDimensions: 7x7x18 cm eachFits standard taper candles",https://joyandco.com/product/flower-girl-set-of-4-ADbOHH,https://joyandco.com/storage/app/public/product/2025-05-12-6821f73e5fed4.webp,in stock,299.00 AED,KERSTEN,new,Products
fresh-orange-can-vase-4R6YOh,Fresh Orange Can Vase,"Freshen up any corner with the Fresh Orange vase. Its bold green stripes and cheerful citrus label make it a standout piece for colorful interiors. Crafted from earthenware, it mixes whimsy with style.Material: EarthenwareDimensions: 7x7x11.3 cm",https://joyandco.com/product/fresh-orange-can-vase-4R6YOh,https://joyandco.com/storage/app/public/product/2025-05-16-68272b3360f5a.webp,in stock,70.00 AED,KERSTEN,new,Products
glitchy-willow-dessert-plate-classics-on-acid-BaIQCz,Glitchy Willow Dessert Plate - Classics on Acid,"A classic look with a bold twist for party lovers and eclectic enthusiasts. Seletti x Diesel Living collection revisits well-known classical porcelain themes from across the world through an ""after party"" lens. On this porcelain dinner plate, key themes of the Dutch Delftware pottery style are warped and contorted for an unexpected merger of the crazy and the classical.Material: Bone China porcelainSize: ⌀21cmNot suitable for dishwasherNot suitable for microwave",https://joyandco.com/product/glitchy-willow-dessert-plate-classics-on-acid-BaIQCz,https://joyandco.com/storage/app/public/product/2025-02-26-67bf3233d258d.webp,in stock,195.00 AED,SELETTI,new,Products
hybrid-teapot-smeraldina-jP5GhE,Hybrid Teapot Smeraldina,When east and west combine. A collection that reflects ancient historic Western and Eastern ceramic production. Hybrid decorations that come from a complex past that evolve into contemporary shapes.Material: Bone China porcelainSize: ø15x13cmSuitable for dishwasherNot suitable for microwave,https://joyandco.com/product/hybrid-teapot-smeraldina-jP5GhE,https://joyandco.com/storage/app/public/product/2025-02-26-67bf28098f5be.webp,in stock,510.00 AED,SELETTI,new,Products
lemonade-can-vase-set-of-3-t1vV4A,Lemonade Can Vase Set of 3,"A playful trio of vases shaped like retro lemonade cans, featuring vibrant fruit-themed labels: Misty Lemon, Wild Strawberry, and Fresh Orange. Each piece is crafted from earthenware and brings a pop of color and fun to your shelf, windowsill, or table setup.Material: EarthenwareDimensions (each): 7x7x11.3 cmSet of 3 assorted designs",https://joyandco.com/product/lemonade-can-vase-set-of-3-t1vV4A,https://joyandco.com/storage/app/public/product/2025-05-16-68272bd629ae9.webp,in stock,200.00 AED,KERSTEN,new,Products
misty-lemon-can-vase-UIb0lj,Misty Lemon Can Vase,"Bring a zesty twist to your decor with the Misty Lemon Can vase. Designed like a retro lemonade can with striped citrus tones and a fresh lemon label, this earthenware piece is full of charm.Material: EarthenwareDimensions: 7x7x11.3 cm",https://joyandco.com/product/misty-lemon-can-vase-UIb0lj,https://joyandco.com/storage/app/public/product/2025-05-16-68272576b488b.webp,in stock,70.00 AED,KERSTEN,new,Products
neon-citrine-hobnail-tumblers-set-of-6-3uVHor,Set of 6 Neon Citrine Hobnail Tumblers,"Be different from the crowd and take a unique twist on a timeless classic. A modern approach to the Bohemian glass tradition, this set of handmade neon citrine tumblers, handcrafted, has an avant-garde, yet minimalist hobnail design.The vibrant hue is inspired by neon lights and it glows under UV light.Material: Bohemian CrystalVolume: 200mlDimensions: 7.5x12cmSuitable for dishwasherNot suitable for microwaveAvailable in a set of 6Made in Czech Republic.",https://joyandco.com/product/neon-citrine-hobnail-tumblers-set-of-6-3uVHor,https://joyandco.com/storage/app/public/product/2025-02-26-67bf3937d0c69.webp,in stock,680.00 AED,KLIMCHI,new,Products
pegasus-breakfast-plate-rOnjMj,Pegasus Breakfast Plate,The Pegasus Breakfast Plate has a stunningly creative design that will remind you of life’s magic in the small things. The elegant hand-painted pegasus in the middle of the plate effortlessly elevates your breakfast table.Specifications:• Material: ceramic• Measurements: 220 x 220 x 20 mm• Dishwasher and microwave safe• Handmade in Portugal,https://joyandco.com/product/pegasus-breakfast-plate-rOnjMj,https://joyandco.com/storage/app/public/product/2025-02-21-67b8240ae4efc.webp,in stock,155.00 AED,ANNA + NINA,new,Products
pine-scalloped-dinner-plate-EmNJaO,Pine Scalloped Dinner Plate,The Pine Scalloped Dinner Plate has a dazzling design that effortlessly illuminates your table setting. The hand-painted beautiful pine-green stripes around the outer circle of the sculpted plates make the item fun and extraordinary.Specifications:• Material: ceramic• Measurements: 270 x 270 x 31 mm• Dishwasher and microwave safe• Handmade in Portugal,https://joyandco.com/product/pine-scalloped-dinner-plate-EmNJaO,https://joyandco.com/storage/app/public/product/2025-02-21-67b8247d3f560.webp,in stock,165.00 AED,ANNA + NINA,new,Products
pink-kiss-planter-wNl1qY,Pink Kiss Planter,"Bring a bold, modern twist to your décor with the Pink Kiss Planter in soft pink. Sculpted from fine earthenware, its striking shape and glossy finish make it a true statement piece.Material: Fine EarthenwareDimensions: 42x18.5x18.5 cm",https://joyandco.com/product/pink-kiss-planter-wNl1qY,https://joyandco.com/storage/app/public/product/2025-05-12-6821d909728e1.webp,in stock,375.00 AED,KERSTEN,new,Products
powder-striped-jug-suAk5v,Powder Striped Jug,The Powder Striped Jug is a stunningly hand-painted piece that will make your table setting look delicious. The eclectic blue and turquoise striped design in combination with the sculpted edges adds not only to an enchanting effect on the dinner table but also when portraying your favourite bouquet around your home.Specifications:• Measurements: 190 x 170 x 210 mm• Material: ceramic• Dishwasher and microwave safe• Handmade in Portugal,https://joyandco.com/product/powder-striped-jug-suAk5v,https://joyandco.com/storage/app/public/product/2025-02-21-67b825392942d.webp,in stock,279.00 AED,ANNA + NINA,new,Products
powder-striped-yogurt-bowl-FSlq6Q,Powder Striped Yogurt Bowl,The Powder Striped Yogurt Bowl is an eclectic item that elevates your breakfast table. The Joyfully hand-painted blue stripes pave the way to a colourful and energetic morning.Specifications:• Material: ceramic• Measurements: 145 x 145 x 70 mm• Dishwasher and microwave safe• Handmade in Portugal,https://joyandco.com/product/powder-striped-yogurt-bowl-FSlq6Q,https://joyandco.com/storage/app/public/product/2025-02-21-67b825f8ca12d.webp,in stock,129.00 AED,ANNA + NINA,new,Products
skyline-vase-9yZABA,Skyline Vase,"A compact stoneware vase in a soft lilac hue, designed with clean vertical lines and an elegant silhouette. Its subtle presence makes it perfect for side tables, shelves, or as part of a layered display.Material: StonewareDimensions: 8.7x8.7x26.4 cmCare: Wipe clean",https://joyandco.com/product/skyline-vase-9yZABA,https://joyandco.com/storage/app/public/product/2025-05-11-68206c822381c.webp,in stock,125.00 AED,KERSTEN,new,Products
sugarline-vase-9rFoY2,Sugarline Vase,"Sleek, subtle, and sweet. This pink stoneware vase brings a gentle charm to any space with its sculptural silhouette and soft hue. Whether styled with flowers or left empty as a standalone piece, it's perfect for adding a modern, feminine touch to shelves, tables, or nooks.Material: StonewareDimensions: 8.2×8.2×28.5 cmCare: Wipe clean",https://joyandco.com/product/sugarline-vase-9rFoY2,https://joyandco.com/storage/app/public/product/2025-05-11-68206aee2d7ac.webp,in stock,135.00 AED,KERSTEN,new,Products
wild-strawberry-can-vase-y0Fgm1,Wild Strawberry Can Vase,"Add a berry-sweet touch with the Wild Strawberry vase. This soft red earthenware piece, shaped like a soda can, features a vintage fruit label and a glossy finish that makes it feel both nostalgic and fun.Material: EarthenwareDimensions: 7x7x11.3 cm",https://joyandco.com/product/wild-strawberry-can-vase-y0Fgm1,https://joyandco.com/storage/app/public/product/2025-05-16-68272ac22d334.webp,in stock,70.00 AED,KERSTEN,new,Products
